start point = [5, 5]

results: 
495: [1.49478426 2.2409501 ] = 0.2452431312408422
496: [1.49075095 2.24006196] = 0.24397774173613754
497: [1.4922246  2.23312987] = 0.24269409706957423
498: [1.48817277 2.23226995] = 0.24141439172441817
499: [1.48962119 2.22518673] = 0.24011522853289996
500: [1.48554942 2.22435546] = 0.23882017251196408
501: [1.48697109 2.21711214] = 0.2375043461532228
502: [1.48287784 2.21631002] = 0.2361928114761917
503: [1.48427106 2.20889675] = 0.23485906937561576
504: [1.48015466 2.20812433] = 0.2335298221350733
505: [1.48151754 2.20053024] = 0.2321767883798891
506: [1.47737619 2.19978814] = 0.23082847367450446
507: [1.47870658 2.19200121] = 0.2294546307338075
508: [1.47453832 2.19129011] = 0.22808575479946214
509: [1.47583382 2.18329698] = 0.2266894216903668
510: [1.4716365  2.18261766] = 0.22529833056845908
511: [1.47289436 2.1744034 ] = 0.22387763659156393
512: [1.46866563 2.17375675] = 0.222462490482655
513: [1.46988273 2.16530462] = 0.22101534338429882
514: [1.46562    2.16469161] = 0.2195740855778062
515: [1.46679275 2.15598275] = 0.21809813263395803
516: [1.46249315 2.1554045 ] = 0.21662845155348875
517: [1.46361744 2.14641751] = 0.2151210315686807
518: [1.45927776 2.14587527] = 0.21362031398741171
519: [1.4603488  2.13658574] = 0.21207839749874255
520: [1.45596546 2.13608094] = 0.2105436702991895
521: [1.45697767 2.12646081] = 0.2089637842732252
522: [1.45254662 2.12599509] = 0.20739164115748676
523: [1.45349343 2.11601189] = 0.20576977301519506
524: [1.44901008 2.11558712] = 0.20415628116943496
525: [1.44988368 2.10520292] = 0.20248775482837955
526: [1.44534279 2.10482127] = 0.20082833447555
527: [1.44613381 2.09399137] = 0.19910764786151508
528: [1.44152931 2.09365534] = 0.19739691451695518
529: [1.4422264  2.08232647] = 0.1956175229987608
530: [1.43755122 2.08203901] = 0.19384907743114949
531: [1.43814043 2.0701469 ] = 0.19200309970944815
532: [1.43338627 2.0699115 ] = 0.19016924298941232
533: [1.4338502  2.05737751] = 0.188247053034648
