learning rate = 0.01
start point = [0, 0]

results: 
337: [1.9977908891736764, 0.9999999999993772] = -7.999995119829356
338: [1.9978350713902029, 0.9999999999994272] = -7.999995313084114
339: [1.9978783699623988, 0.9999999999994731] = -7.999995498685983
340: [1.9979208025631507, 0.9999999999995153] = -7.999995676938019
341: [1.9979623865118876, 0.9999999999995517] = -7.999995848131273
342: [1.99800313878165, 0.9999999999995876] = -7.9999960125452745
343: [1.9980430760060168, 0.9999999999996205] = -7.999996170448482
344: [1.9980822144858965, 0.9999999999996508] = -7.999996322098722
345: [1.9981205701961786, 0.9999999999996787] = -7.999996467743613
346: [1.998158158792255, 0.9999999999997045] = -7.999996607620965
347: [1.99819499561641, 0.9999999999997281] = -7.999996741959175
348: [1.9982310957040819, 0.9999999999997499] = -7.999996870977592
349: [1.9982664737900002, 0.9999999999997699] = -7.999996994886879
350: [1.9983011443142003, 0.9999999999997883] = -7.999997113889359
351: [1.9983351214279161, 0.9999999999998053] = -7.999997228179341
352: [1.9983684189993578, 0.9999999999998208] = -7.999997337943438
353: [1.9984010506193706, 0.9999999999998351] = -7.999997443360878
354: [1.9984330296069832, 0.9999999999998483] = -7.999997544603787
355: [1.9984643690148436, 0.9999999999998604] = -7.999997641837478
356: [1.9984950816345468, 0.9999999999998715] = -7.999997735220713
357: [1.998525180001856, 0.9999999999998819] = -7.999997824905973
358: [1.9985546764018187, 0.9999999999998913] = -7.999997911039697
359: [1.9985835828737795, 0.9999999999999] = -7.999997993762524
360: [1.9986119112163039, 0.999999999999908] = -7.999998073209529
361: [1.9986396729919778, 0.9999999999999153] = -7.999998149510431
362: [1.9986668795321383, 0.9999999999999221] = -7.999998222789818
363: [1.9986935419414955, 0.9999999999999283] = -7.999998293167341
364: [1.9987196711026656, 0.9999999999999339] = -7.999998360757915
365: [1.9987452776806123, 0.9999999999999393] = -7.999998425671902
366: [1.9987703721270007, 0.9999999999999442] = -7.999998488015295
367: [1.9987949646844607, 0.9999999999999486] = -7.999998547889888
368: [1.9988190653907716, 0.9999999999999528] = -7.999998605393449
369: [1.9988426840829565, 0.9999999999999566] = -7.999998660619868
370: [1.9988658304012974, 0.99999999999996] = -7.999998713659322
371: [1.9988885137932715, 0.99999999999996] = -7.999998764598413
372: [1.998910743517406, 0.9999999999999633] = -7.999998813520316
373: [1.998932528647058, 0.9999999999999662] = -7.999998860504911
374: [1.998953878074117, 0.9999999999999689] = -7.9999989056289165
375: [1.9989748005126347, 0.9999999999999714] = -7.999998948966011
376: [1.998995304502382, 0.9999999999999737] = -7.999998990586957
377: [1.9990153984123344, 0.9999999999999737] = -7.999999030559714
378: [1.9990350904440877, 0.9999999999999758] = -7.999999068949549
379: [1.999054388635206, 0.9999999999999778] = -7.999999105819146
