learning rate = 0.1
start point = [0.75, -1.25]

results: 
346: [-1.5707959742987003, -1.5707962091506742] = -2.1345713598894505e-33
347: [-1.5707960095481246, -1.5707962209150053] = -1.72900458904062e-33
348: [-1.5707960412726436, -1.5707962315029205] = -1.4004950210198799e-33
349: [-1.5707960698247407, -1.5707962410320582] = -1.13440191818343e-33
350: [-1.5707960955216524, -1.5707962496082934] = -9.188662478050425e-34
351: [-1.5707961186488928, -1.5707962573269145] = -7.442821654043368e-34
352: [-1.5707961394634251, -1.570796264273681] = -6.028689210869373e-34
353: [-1.570796158196517, -1.5707962705257767] = -4.88324095085547e-34
354: [-1.5707961750563104, -1.570796276152668] = -3.955427120408981e-34
355: [-1.5707961902301328, -1.5707962812168739] = -3.20389739548858e-34
356: [-1.57079620388658, -1.5707962857746625] = -2.595157929101211e-34
357: [-1.5707962161773878, -1.5707962898766747] = -2.102078682749427e-34
358: [-1.5707962272391196, -1.570796293568488] = -1.7026842788077758e-34
359: [-1.5707962371946818, -1.5707962968911215] = -1.3791746718337373e-34
360: [-1.5707962461546907, -1.570796299881493] = -1.117131781042398e-34
361: [-1.570796254218701, -1.5707963025728287] = -9.048769563641026e-35
362: [-1.5707962614763122, -1.5707963049950315] = -7.32950493389083e-35
363: [-1.570796268008164, -1.5707963071750148] = -5.936900156211377e-35
364: [-1.5707962738868317, -1.5707963091370005] = -4.8088899491634233e-35
365: [-1.5707962791776338, -1.570796310902788] = -3.895201478441756e-35
366: [-1.5707962839393566, -1.5707963124919972] = -3.1551136296027105e-35
367: [-1.5707962882249076, -1.5707963139222858] = -2.555642374391481e-35
368: [-1.570796292081904, -1.5707963152095459] = -2.0700705458962491e-35
369: [-1.5707962955532013, -1.57079631636808] = -1.6767573239794592e-35
370: [-1.5707962986773694, -1.570796317410761] = -1.358173538897737e-35
371: [-1.5707963014891209, -1.570796318349174] = -1.100120665655883e-35
372: [-1.5707963040196975, -1.5707963191937457] = -8.910978081517251e-36
373: [-1.5707963062972166, -1.5707963199538604] = -7.217892813675913e-36
374: [-1.5707963083469838, -1.5707963206379636] = -5.846493654977568e-36
375: [-1.5707963101917746, -1.5707963212536566] = -4.7356601121003906e-36
376: [-1.5707963118520862, -1.5707963218077805] = -3.835884856297958e-36
377: [-1.570796313346367, -1.570796322306492] = -3.107066819326416e-36
378: [-1.5707963146912196, -1.5707963227553323] = -2.5167242430542783e-36
379: [-1.570796315901587, -1.5707963231592887] = -2.0385466727667803e-36
380: [-1.5707963169909178, -1.5707963235228495] = -1.65122282756152e-36
381: [-1.5707963179713156, -1.5707963238500542] = -1.3374904943799124e-36
382: [-1.5707963188536735, -1.5707963241445384] = -1.0833673190214539e-36
383: [-1.5707963196477956, -1.5707963244095742] = -8.775275635260693e-37
384: [-1.5707963203625057, -1.5707963246481065] = -7.10797303172391e-37
